id,Is Action,Is Adventure,Is Animation,Is Christmas Movie,Is Comedy,Is Crime,Is Documentary,Is Drama,Is Family,Is Fantasy,Is Foreign,Is History,Is Horror,Is Music,Is Mystery,Is Romance,Is Science Fiction,Is TV Movie,Is Thriller,Is War,Is Western,Tag: aftercreditsstinger,Tag: alien,Tag: biography,Tag: blood,Tag: corruption,Tag: dark comedy,Tag: death,Tag: detective,Tag: dog,Tag: drug,Tag: dystopia,Tag: england,Tag: escape,Tag: family,Tag: father,Tag: film noir,Tag: friendship,Tag: gangster,Tag: gay,Tag: high school,Tag: independent film,Tag: investigation,Tag: kidnapping,Tag: love,Tag: marriage,Tag: martial arts,Tag: money,Tag: music,Tag: new york,Tag: nudity,Tag: paris,Tag: party,Tag: prison,Tag: remake,Tag: revenge,Tag: robbery,Tag: romance,Tag: secret,Tag: sequel,Tag: serial killer,Tag: small town,Tag: sport,Tag: spy,Tag: stand-up comedy,Tag: suicide,Tag: suspense,Tag: teacher,Tag: teenager,Tag: vampire,Tag: violence,Tag: wedding,Tag: world war ii,adult,imdb_id,popularity,release_date,release_month,release_quarter,release_year,runtime,title,vote_average,vote_count
27230,,,,1,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0081793,8.952589,1980-11-01,11.0,4.0,1980.0,100.0,Christmas Evil,5.6,34.0
26530,,,,0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0036711,1.083518,1944-01-01,1.0,1.0,1944.0,93.0,Christmas Holiday,6.0,12.0
363480,,,,0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt5204384,2.256822,2015-11-15,11.0,4.0,2015.0,84.0,Christmas Incorporated,6.4,21.0
81420,,,,0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt2112127,0.691204,2011-12-18,12.0,4.0,2011.0,90.0,Christmas Magic,6.9,10.0
149023,,,,0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt2333408,1.355787,2012-08-12,8.0,3.0,2012.0,100.0,Christmas Oranges,7.6,5.0
299588,,,,0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt4177742,7.295144,2014-12-07,12.0,4.0,2014.0,84.0,Christmas at Cartwright's,5.8,10.0
7088,,,,0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0497025,3.221714,2005-12-14,12.0,4.0,2005.0,136.0,Christmas in Boston,5.5,14.0
13669,,,,1,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0037595,8.568803,1945-12-17,12.0,4.0,1945.0,102.0,Christmas in Connecticut,7.1,35.0
34778,,,,0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0032338,1.282498,1940-10-18,10.0,4.0,1940.0,67.0,Christmas in July,6.7,17.0
14089,,,,0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0363240,0.315741,2008-11-11,11.0,4.0,2008.0,82.0,Christmas on Mars,7.3,3.0
149786,,,,0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt2355762,1.893719,2012-12-09,12.0,4.0,2012.0,90.0,Christmas with Holly,5.9,30.0
157283,1.0,1.0,,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0041247,0.741268,1949-10-12,10.0,4.0,1949.0,99.0,Christopher Columbus,6.0,2.0
60170,,,,0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,tt1651062,9.933547,2011-03-19,3.0,1.0,2011.0,90.0,Christopher and His Kind,6.7,26.0
69150,1.0,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1,tt0066915,0.209517,1971-09-29,9.0,3.0,1971.0,91.0,Chrome and Hot Leather,6.0,3.0
17086,,,,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0419641,1.719597,2005-01-01,1.0,1.0,2005.0,136.0,Chromophobia,5.7,12.0
76726,,,,0,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1,tt1706593,12.47441,2012-02-01,2.0,1.0,2012.0,84.0,Chronicle,6.6,1965.0
49104,,,,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0115895,0.361472,1996-01-01,1.0,1.0,1996.0,88.0,Chronicle of a Disappearance,6.0,2.0
44490,,,,0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0200530,1.520011,2000-01-21,1.0,1.0,2000.0,96.0,Chuck & Buck,5.7,17.0
11104,,,,0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1,tt0109424,6.778979,1994-07-14,7.0,3.0,1994.0,102.0,Chungking Express,7.9,249.0
